
 ID     SSSSSSSS.mmmuuun  CH AMP
  1        1.1700222   2  36
  1        1.5532528   2  37
  1        1.6868740   2  36
  1        1.7365880   2  37
  1        1.9199902   2  37
  1        1.9535458   2  35
  1        2.0033415   2  37
  1        2.0533425   2  36
  1        2.0867910   2  38
  1        2.1701685   2  35
  1        2.2033718   2  38
  1        2.3201282   2  36
  1        2.3704185   2  37
  1        2.4201217   2  36
  1        2.4537655   2  37
  1        2.4701710   2  37
  1        2.4868053   2  38
  1        2.5368172   2  36
  1        2.5701500   2  37
  1        2.6037853   2  36
  1        2.6202340   2  36
  1        2.6534932   2  36
  1        2.6869187   2  36
  1        2.7035490   2  37
  1        2.7535633   2  37
  1        2.7702955   2  37
  1        2.8120863   2  38
  1        2.8536068   2  37
  1        2.8871877   2  37
  1        2.9035860   2  37
  1        2.9537158   2  35
  1        3.1539455   2  35
  1        3.3369702   2  36
  1        3.4703798   2  37
  1        3.5373168   2  37
  1        3.5872377   2  35
  1        3.6870552   2  36
  1        3.7370550   2  37
  1        3.7704240   2  36
  1        3.7870842   2  35
  1        3.8204177   2  35
  1        3.8370670   2  38
  1        3.8537925   2  37
  1        3.8704360   2  36
  1        3.9037790   2  36
  1        3.9371157   2  37
  1        3.9704778   2  35
  1        3.9871680   2  36
  1        4.0538102   2  35
  1        4.1041190   2  36
  1        4.2207755   2  37
  1        4.2704962   2  35
  1        4.3375058   2  35
  1        4.4705850   2  36
  1        4.7039408   2  38
  1        4.7874075   2  37
  1        4.8709108   2  35
  1        5.2710133   2  35
  1        5.5541215   2  35
  1        5.6708587   2  38
  1        5.7708440   2  38
  1        5.8711135   2  38
  1        5.8875185   2  36
  1        5.9209977   2  35
  1        5.9375158   2  37
  1        5.9878435   2  35
  1        6.0209113   2  37
  1        6.0708887   2  36
  1        6.0875933   2  37
  1        6.7212855   2  36
  1        6.7546570   2  36
  1        7.1213035   2  38
  1        7.1377672   2  37
  1        7.1878668   2  37
  1        7.2046398   2  37
  1        7.4046860   2  38
  1       32.7801245   2  40
  1       33.0634292   2  40
  1       38.5658017   2  62
